CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
30001,Beaverhead,9291,4716,4575,3.7,91.8,0.1,1.1,0.4,0.1,7310,41512.0,4012.0,2943,16.3,7.6,35.2,21.6,19.0,17.0,7.2,67.2,9.5,0.1,11.5,2.2,9.5,13.9,4615,66.9,20.9,11.7,0.5,6.5
30003,Big Horn,13141,6547,6594,5.2,29.5,0.1,62.7,0.2,0.0,8674,41622.0,4367.0,825,29.2,39.1,32.6,22.2,23.8,13.9,7.4,65.2,14.0,0.5,5.0,1.8,13.4,19.2,4663,47.7,43.2,8.7,0.5,19.9
30005,Blaine,6598,3285,3313,2.4,47.3,0.2,48.0,0.0,0.3,4595,36744.0,2265.0,1186,27.7,37.8,38.0,16.6,18.6,19.7,7.1,66.1,12.2,1.4,8.8,1.5,10.1,15.8,2574,45.7,38.1,10.2,6.0,13.4
30007,Broadwater,5692,2903,2789,1.6,94.1,0.6,1.4,1.3,0.0,4437,50115.0,4302.0,2870,9.9,13.0,31.7,13.0,20.3,21.9,13.0,75.8,8.3,0.0,4.7,3.3,7.8,24.4,2759,65.3,21.4,12.7,0.6,4.5
30009,Carbon,10268,5140,5128,2.4,94.9,0.0,1.3,0.2,0.0,8232,49767.0,3374.0,1395,11.2,17.5,34.3,18.4,20.9,17.3,9.1,63.5,14.6,1.5,8.5,3.0,8.9,27.7,5126,73.6,12.7,12.9,0.8,3.9
30011,Carter,1227,623,604,0.7,98.0,0.0,0.2,0.0,0.0,990,45000.0,4958.0,3330,11.8,14.3,52.0,10.6,9.6,19.8,8.1,48.5,8.8,0.0,14.8,2.8,25.1,13.4,606,50.0,16.0,30.9,3.1,2.3
30013,Cascade,82090,41098,40992,3.9,86.3,1.2,4.1,0.8,0.0,62913,45205.0,1461.0,736,15.3,23.1,33.9,21.8,23.2,11.2,9.9,79.0,11.9,0.9,3.7,1.5,3.0,15.7,37069,75.5,16.5,7.7,0.3,5.1
30015,Chouteau,5855,2917,2938,2.1,76.0,0.1,19.2,0.3,0.0,4310,38521.0,2648.0,1281,23.2,35.8,40.5,20.3,19.6,12.1,7.5,61.9,9.4,1.8,8.6,2.5,15.8,16.9,2510,59.2,24.5,15.1,1.2,4.3
30017,Custer,11945,5952,5993,2.8,93.1,0.4,1.8,0.5,0.0,9294,48750.0,5007.0,1195,11.3,11.1,32.6,20.3,25.8,13.1,8.2,79.2,9.1,0.4,3.7,2.4,5.2,13.2,6196,72.4,17.4,10.1,0.2,3.8
30019,Daniels,1758,891,867,2.5,96.6,0.0,0.7,0.2,0.0,1436,49239.0,6074.0,4392,5.8,3.9,43.8,18.1,21.1,9.2,7.9,79.1,2.6,0.0,11.1,0.4,6.7,11.3,916,57.0,20.7,22.3,0.0,2.6
30021,Dawson,9365,4924,4441,2.7,93.1,0.8,2.7,0.1,0.1,7298,52738.0,7536.0,1642,13.6,27.4,36.0,17.9,16.4,14.7,14.9,72.6,13.9,0.2,4.9,1.7,6.7,18.4,4694,73.8,15.2,10.5,0.5,2.0
30023,Deer Lodge,9211,4945,4266,3.0,91.1,1.0,1.5,0.5,1.5,7626,39399.0,3435.0,1949,17.3,26.5,28.3,26.7,17.0,13.6,14.5,70.3,12.5,0.8,3.6,1.3,11.6,19.9,3834,53.0,39.2,7.7,0.1,3.9
30025,Fallon,3057,1568,1489,1.0,95.6,1.3,0.3,0.4,0.0,2266,53266.0,7982.0,5324,6.6,7.0,30.2,17.3,18.1,19.3,15.1,78.1,6.7,0.0,5.7,0.6,8.9,13.2,1632,64.7,19.8,14.0,1.5,3.3
30027,Fergus,11468,5807,5661,0.8,94.5,0.2,1.5,0.7,1.5,9035,40881.0,3795.0,2156,11.5,13.9,39.6,17.0,18.8,13.0,11.7,72.5,8.0,0.7,8.8,2.4,7.6,12.2,5579,67.7,20.2,11.9,0.2,3.1
30029,Flathead,93333,46583,46750,2.6,93.3,0.3,1.5,0.5,0.0,71563,47851.0,1921.0,1153,13.3,18.2,33.3,18.1,25.8,12.9,10.0,80.9,7.5,0.6,3.2,1.7,6.1,19.2,43907,78.2,13.4,8.1,0.3,7.0
30031,Gallatin,95323,49111,46212,3.1,92.6,0.4,0.9,1.2,0.0,74111,55553.0,1893.0,1049,13.2,10.7,39.6,18.1,22.3,11.7,8.3,72.5,9.1,0.6,6.3,4.6,6.8,17.5,52450,73.2,17.7,8.6,0.4,6.3
30033,Garfield,1047,498,549,0.6,97.1,0.0,2.1,0.0,0.0,832,39732.0,7636.0,3618,9.2,10.2,50.5,11.9,16.0,16.9,4.7,74.1,6.3,0.5,3.1,1.3,14.6,11.6,555,40.2,20.9,36.6,2.3,0.2
30035,Glacier,13672,6672,7000,2.5,32.0,0.3,63.1,0.5,0.1,9111,29640.0,2762.0,1709,33.2,40.0,37.3,22.7,17.5,15.0,7.6,69.0,9.7,0.3,10.4,0.4,10.1,13.7,4515,53.0,36.9,8.6,1.5,14.4
30037,Golden Valley,756,364,392,2.1,94.7,0.0,0.0,0.0,0.0,618,40938.0,5716.0,2711,26.6,60.1,35.3,12.0,16.5,22.7,13.4,61.0,9.2,0.0,18.9,1.4,9.5,24.4,357,63.0,23.2,12.6,1.1,3.5
30039,Granite,3168,1626,1542,1.9,96.9,0.1,0.2,0.0,0.0,2610,48512.0,6368.0,2617,14.9,39.1,37.7,19.0,17.5,16.3,9.6,66.1,12.4,0.0,9.0,1.1,11.5,25.7,1265,64.0,22.7,12.6,0.7,7.2
30041,Hill,16523,8374,8149,3.1,71.2,0.0,22.3,0.5,0.0,11949,44633.0,3552.0,941,21.2,26.5,33.9,17.3,22.6,12.6,13.7,80.1,8.3,0.2,6.2,1.1,4.1,11.9,7364,68.1,25.7,4.6,1.6,4.0
30043,Jefferson,11502,5965,5537,2.1,93.4,0.1,1.2,0.2,0.0,8956,60842.0,2048.0,1468,9.5,11.9,43.1,16.8,17.8,14.3,8.0,76.9,11.2,0.1,4.1,1.4,6.3,21.2,5295,62.1,27.8,9.6,0.6,6.6
30045,Judith Basin,1997,1041,956,1.4,97.3,0.0,1.1,0.0,0.0,1641,44602.0,5168.0,2191,14.1,19.0,46.8,14.2,13.1,19.2,6.7,59.6,10.5,0.4,14.3,1.1,14.1,18.3,943,53.1,23.9,19.8,3.2,3.9
30047,Lake,29157,14342,14815,4.0,66.3,0.2,23.3,0.4,0.0,21701,38732.0,2206.0,1174,22.6,32.8,34.1,20.8,20.5,14.3,10.2,70.7,11.3,0.8,5.0,1.3,11.0,19.7,11798,65.3,22.4,11.8,0.5,9.9
30049,Lewis and Clark,65357,32482,32875,2.9,91.8,0.5,2.3,0.5,0.1,50587,56197.0,2219.0,889,12.2,15.6,44.6,16.9,23.4,9.0,6.0,77.4,11.2,0.5,4.3,2.0,4.5,16.8,33126,62.8,30.6,6.4,0.2,4.9
30051,Liberty,2369,1160,1209,0.8,96.2,0.0,1.1,0.0,0.6,1864,47768.0,7815.0,3780,17.8,13.5,40.8,16.6,18.1,21.2,3.3,55.2,4.7,2.2,21.3,0.9,15.7,11.0,950,56.7,18.2,15.3,9.8,4.5
30053,Lincoln,19337,9714,9623,2.6,93.5,0.1,1.3,0.6,0.0,15626,35275.0,3735.0,1631,18.6,23.7,30.0,23.8,21.7,13.5,11.0,77.7,11.0,1.0,3.6,2.1,4.5,18.9,6844,67.6,20.0,12.0,0.4,13.1
30055,McCone,1728,925,803,1.5,94.7,0.0,3.2,0.3,0.0,1401,40750.0,5191.0,3280,9.0,8.3,52.4,6.2,22.7,13.6,5.1,71.1,8.9,0.3,6.0,0.2,13.5,14.7,920,48.8,22.2,27.8,1.2,0.8
30057,Madison,7767,4082,3685,3.0,94.3,0.6,0.5,0.1,0.3,6394,46250.0,5418.0,2514,10.7,17.7,34.5,20.8,15.6,21.0,8.1,59.5,11.8,0.3,11.0,2.1,15.3,22.0,3880,64.3,16.8,17.2,1.6,4.8
30059,Meagher,1898,903,995,1.4,97.0,0.0,0.5,0.5,0.0,1509,41641.0,5023.0,1600,14.1,14.5,35.5,18.9,20.2,14.3,11.2,66.6,5.4,0.3,10.5,1.5,15.6,13.9,891,63.9,16.5,18.0,1.7,3.9
30061,Mineral,4238,2133,2105,1.6,97.3,0.1,0.5,0.2,0.0,3464,36031.0,4563.0,2204,17.2,33.2,28.0,22.3,24.6,10.0,15.1,77.0,13.8,0.0,4.2,1.4,3.6,23.1,1527,78.5,13.6,8.0,0.0,11.8
30063,Missoula,111966,56328,55638,3.0,90.1,0.5,2.5,1.2,0.1,88719,46164.0,1598.0,721,16.0,13.9,39.1,20.6,23.4,9.5,7.4,71.9,10.3,1.8,5.2,5.4,5.5,17.5,59103,75.6,17.2,7.2,0.0,8.2
30065,Musselshell,4790,2389,2401,3.3,92.5,0.2,0.8,1.1,0.0,3674,39517.0,2686.0,1709,16.4,22.5,26.4,16.3,19.3,23.7,14.2,72.9,8.4,0.0,4.7,0.0,14.0,32.9,1967,66.3,13.0,17.9,2.7,4.6
30067,Park,15708,7896,7812,2.7,94.2,0.5,0.9,0.1,0.0,12659,43932.0,2176.0,1676,12.3,9.4,37.2,16.2,23.0,15.2,8.3,67.0,13.7,1.8,5.3,2.1,10.0,24.2,7782,71.8,13.8,13.5,0.8,5.4
30069,Petroleum,443,232,211,1.4,98.6,0.0,0.0,0.0,0.0,360,43750.0,6181.0,3497,6.8,8.4,43.7,8.3,21.7,20.1,6.3,43.1,13.3,0.0,14.1,0.4,29.0,18.8,254,57.9,22.0,18.9,1.2,6.6
30071,Phillips,4167,2086,2081,2.1,85.6,0.0,9.4,0.0,0.0,3217,36071.0,5526.0,1779,15.9,17.1,33.7,16.6,26.4,15.8,7.5,65.8,11.2,1.0,6.2,1.7,14.1,18.3,1767,59.0,24.2,15.2,1.6,6.3
30073,Pondera,6206,3068,3138,1.8,81.3,0.3,14.3,0.4,0.0,4604,42264.0,6153.0,2897,20.9,27.2,37.1,19.2,19.5,15.5,8.7,69.5,12.6,0.0,7.7,1.5,8.7,16.2,2738,66.0,19.0,14.4,0.6,6.0
30075,Powder River,1703,840,863,2.1,94.0,0.0,1.5,0.0,0.0,1422,46346.0,7538.0,3027,9.3,6.6,43.0,14.1,17.1,18.9,6.9,59.2,7.7,0.0,9.6,3.0,20.6,15.5,965,51.2,23.5,23.2,2.1,4.5
30077,Powell,6975,4318,2657,2.5,90.5,0.5,3.8,1.1,0.0,5913,40000.0,3253.0,1878,13.8,28.4,35.5,22.4,17.7,13.9,10.4,71.9,9.9,0.2,6.0,1.0,10.9,18.3,2629,56.3,31.3,12.4,0.0,2.2
30079,Prairie,1372,733,639,0.8,96.1,0.0,1.1,0.0,0.1,1050,42383.0,6547.0,2940,17.8,26.4,40.0,16.4,15.1,21.7,6.8,57.0,14.6,0.0,7.2,1.1,20.0,13.8,543,46.4,23.6,27.4,2.6,8.1
30081,Ravalli,40823,20247,20576,3.2,93.2,0.3,0.8,0.5,0.0,32175,39480.0,2349.0,796,18.0,28.6,33.4,17.5,23.2,15.5,10.3,72.4,14.9,0.0,3.2,1.6,7.9,24.3,17159,71.3,15.0,13.1,0.5,8.2
30083,Richland,11132,5699,5433,4.4,91.1,0.4,2.2,0.4,0.0,8262,65084.0,4387.0,3083,11.4,20.0,28.7,12.4,23.4,21.7,13.8,80.4,8.4,0.1,5.7,0.8,4.6,16.7,5904,80.7,10.1,8.9,0.3,2.5
30085,Roosevelt,11072,5544,5528,1.1,36.7,0.1,55.5,0.2,0.0,7512,32974.0,2311.0,717,27.8,34.3,33.0,27.5,14.7,13.1,11.6,73.8,15.5,1.4,3.7,1.0,4.7,13.9,3575,45.0,42.8,11.3,0.9,6.8
30087,Rosebud,9352,4565,4787,4.2,58.7,0.2,33.6,0.6,0.0,6602,51159.0,5884.0,1073,20.6,28.4,34.6,19.5,16.5,19.7,9.7,72.1,10.0,0.3,6.9,3.5,7.2,14.1,4002,63.5,28.8,7.0,0.8,10.6
30089,Sanders,11346,5846,5500,2.5,90.0,0.1,4.4,0.3,0.0,9143,32257.0,2168.0,1130,22.4,39.1,27.0,21.1,20.0,20.5,11.5,74.9,7.6,0.5,3.6,1.2,12.2,21.2,4091,61.7,16.3,21.4,0.6,9.3
30091,Sheridan,3630,1837,1793,1.8,92.3,0.1,1.8,0.2,0.0,2837,50664.0,8352.0,2591,10.5,11.8,36.6,19.6,24.8,12.6,6.3,72.7,13.4,0.2,7.4,0.3,6.0,12.9,1904,62.4,17.4,19.0,1.2,2.7
30093,Silver Bow,34549,17539,17010,4.0,91.4,0.5,1.5,0.7,0.0,26992,37749.0,2340.0,1147,20.1,26.2,34.5,22.5,21.7,9.8,11.5,80.4,9.9,0.4,2.8,3.1,3.5,15.2,16497,76.0,16.7,6.9,0.4,7.0
30095,Stillwater,9288,4703,4585,3.0,94.1,0.2,0.4,0.2,0.0,7188,58259.0,3134.0,1775,7.8,8.3,28.9,14.8,22.0,20.4,14.0,62.9,15.2,3.2,8.2,3.1,7.4,25.3,4487,74.9,12.1,12.2,0.8,3.6
30097,Sweet Grass,3633,1772,1861,1.8,94.3,0.2,0.0,0.7,0.0,2726,50588.0,7042.0,2348,12.7,18.7,31.2,15.2,18.3,26.0,9.3,64.4,8.9,5.4,7.7,2.3,11.4,19.7,1613,67.6,16.7,13.6,2.0,0.9
30099,Teton,6074,3011,3063,1.5,94.4,0.1,1.8,0.3,0.0,4584,46360.0,2998.0,1375,12.1,15.7,38.5,17.0,20.1,15.1,9.3,70.7,11.3,0.3,7.6,2.5,7.7,19.7,2720,63.2,19.2,16.5,1.2,5.1
30101,Toole,5150,2939,2211,3.1,88.3,0.2,5.0,2.2,0.2,4126,44804.0,6604.0,1944,19.2,28.7,29.7,25.3,19.2,13.5,12.3,70.5,7.4,0.0,14.1,0.9,7.1,14.3,2308,69.2,17.8,9.8,3.2,3.1
30103,Treasure,812,432,380,6.9,89.2,0.0,0.0,1.4,0.0,666,41103.0,4053.0,2564,21.9,31.5,31.1,12.7,18.5,33.5,4.2,64.0,3.5,0.0,12.4,3.0,17.2,19.9,379,71.2,12.4,11.9,4.5,0.8
30105,Valley,7577,3802,3775,2.0,85.6,0.2,10.1,0.2,0.2,5814,49141.0,4212.0,1794,12.0,19.4,39.5,18.4,18.2,13.0,11.0,76.1,9.5,0.5,5.6,0.9,7.3,18.7,3753,61.7,22.6,14.9,0.9,2.6
30107,Wheatland,2115,1087,1028,2.1,94.8,0.0,0.7,0.0,0.0,1647,32723.0,5940.0,2157,19.7,30.9,40.2,15.0,18.1,21.9,4.7,55.8,5.9,0.0,23.5,0.0,14.8,9.6,917,51.4,9.5,33.0,6.1,3.4
30109,Wibaux,986,485,501,1.3,98.7,0.0,0.0,0.0,0.0,784,38553.0,10791.0,3063,15.3,17.6,37.9,19.9,10.9,15.8,15.5,71.0,8.8,0.0,10.2,0.7,9.3,20.0,457,56.2,28.4,14.7,0.7,3.0
30111,Yellowstone,153692,75474,78218,5.2,87.4,0.6,4.1,0.7,0.1,116221,52802.0,1409.0,784,11.5,14.4,33.1,18.9,25.3,12.1,10.7,80.5,10.5,1.0,2.8,1.5,3.7,19.2,78572,82.3,10.6,6.9,0.2,4.1
