CensusId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
41001,Oregon,Baker,16052,8163,7889,3.8,91.8,0.3,1.2,0.7,0.2,12727,41098.0,1708.0,24360,1480,15.2,25.0,36.7,14.2,22.5,13.8,12.8,72.3,11.2,0.2,5.9,3.1,7.3,15.6,6376,71.2,19.1,9.5,0.3,10.1
41003,Oregon,Benton,86495,43624,42871,6.9,82.3,0.9,0.6,6.1,0.3,66626,49802.0,1596.0,27888,764,22.3,15.1,49.4,18.7,18.1,6.6,7.3,65.4,8.4,2.1,7.1,9.4,7.6,19.5,39915,64.8,28.4,6.7,0.1,8.6
41005,Oregon,Clackamas,389438,191639,197799,8.2,83.4,0.8,0.5,4.0,0.3,287833,65965.0,1014.0,34047,567,9.5,12.0,37.9,15.3,26.7,8.6,11.5,77.3,9.1,2.9,2.0,1.5,7.2,27.7,185660,80.9,11.1,7.8,0.2,8.3
41007,Oregon,Clatsop,37382,18526,18856,8.1,86.4,0.7,0.3,0.9,0.2,28639,46408.0,2755.0,26294,1085,15.8,22.3,28.8,21.8,25.8,9.9,13.8,71.8,11.1,1.0,7.1,3.1,6.0,19.0,16843,74.9,15.9,8.9,0.3,7.6
41009,Oregon,Columbia,49389,24694,24695,4.6,89.5,0.5,1.2,1.1,0.2,37372,53179.0,2207.0,25885,1032,13.6,19.3,28.1,17.9,23.0,13.0,17.9,78.5,12.1,0.8,2.5,0.8,5.4,32.6,20362,79.5,12.7,7.7,0.2,9.8
41011,Oregon,Coos,62775,30828,31947,5.9,85.8,0.6,2.5,1.2,0.1,49878,38605.0,1445.0,22667,1154,18.3,25.2,27.0,24.3,22.1,12.0,14.7,74.4,11.9,0.9,4.7,1.7,6.3,19.6,23458,71.8,17.7,9.9,0.5,11.7
41013,Oregon,Crook,20956,10352,10604,7.4,88.8,0.3,0.9,0.3,0.1,16560,37106.0,3149.0,21496,1310,19.4,28.2,22.3,25.2,26.0,9.6,16.9,79.8,9.0,0.0,3.8,1.4,6.0,21.3,8014,74.7,15.1,10.0,0.1,13.5
41015,Oregon,Curry,22338,10878,11460,6.3,87.5,0.3,1.9,0.6,0.0,18554,40884.0,3055.0,24682,1236,16.6,17.8,32.0,21.3,25.2,13.7,7.8,75.8,8.7,0.0,7.7,1.6,6.2,13.1,7930,67.7,19.4,12.9,0.0,11.3
41017,Oregon,Deschutes,166622,82129,84493,7.7,87.9,0.4,0.5,1.2,0.1,126233,51223.0,1841.0,29158,1054,14.6,18.8,37.3,18.9,24.5,9.2,10.1,75.6,8.6,0.5,2.7,3.2,9.4,18.5,74599,77.2,11.7,10.9,0.2,9.4
41019,Oregon,Douglas,107194,52932,54262,5.2,88.8,0.3,1.3,0.8,0.1,84842,41312.0,1316.0,22591,693,19.3,30.0,28.1,20.4,23.4,11.2,16.9,77.3,11.2,0.2,2.9,2.2,6.2,20.2,39563,72.0,19.5,8.2,0.3,12.2
41021,Oregon,Gilliam,1883,940,943,7.8,90.1,1.0,1.1,0.0,0.0,1435,44293.0,4106.0,25227,2869,10.0,1.4,28.1,10.9,23.2,18.1,19.7,71.2,8.3,0.7,10.1,2.2,7.5,14.2,783,67.7,24.4,7.5,0.4,9.2
41023,Oregon,Grant,7276,3594,3682,3.5,92.2,0.3,0.7,0.4,0.0,5886,38046.0,4595.0,22538,1770,15.9,18.1,34.8,18.3,21.4,13.7,11.7,72.8,11.4,0.8,5.5,1.4,8.1,18.2,2878,57.7,29.3,12.4,0.6,9.0
41025,Oregon,Harney,7229,3632,3597,4.6,87.8,0.7,4.1,0.6,0.1,5636,37580.0,2496.0,21040,1564,17.8,27.5,36.1,16.8,21.5,17.9,7.7,70.7,7.2,0.4,7.2,2.0,12.6,16.0,2901,53.4,29.5,16.2,1.0,16.1
41027,Oregon,Hood River,22749,11326,11423,30.5,64.8,0.5,0.7,1.8,0.0,14497,55827.0,3214.0,27719,2137,14.3,23.5,35.6,16.3,18.2,15.9,14.0,69.5,10.1,0.1,7.3,3.7,9.3,16.2,11251,79.0,13.3,7.7,0.0,5.1
41029,Oregon,Jackson,208363,101395,106968,11.8,82.4,0.6,0.6,1.0,0.3,157297,44028.0,1107.0,24605,576,19.0,26.5,32.1,21.8,25.0,9.2,11.9,76.0,9.0,1.5,3.4,2.7,7.3,19.1,87699,75.6,13.7,10.6,0.1,10.8
41031,Oregon,Jefferson,22061,11313,10748,19.6,60.6,0.9,15.8,0.8,0.5,15815,46366.0,3506.0,21341,1970,20.5,32.0,26.3,21.0,21.8,13.5,17.4,75.9,12.8,0.3,4.0,3.0,4.0,19.7,8167,69.9,23.3,6.7,0.1,14.4
41033,Oregon,Josephine,83409,40834,42575,6.9,87.8,0.3,1.1,0.7,0.1,65500,37665.0,1789.0,22470,1184,20.1,30.1,29.7,21.3,24.4,9.3,15.2,82.3,7.1,0.3,2.0,2.4,5.8,20.0,28510,76.0,13.2,10.7,0.1,12.3
41035,Oregon,Klamath,65972,32815,33157,11.6,79.7,0.8,3.1,1.1,0.2,50048,40336.0,1774.0,22177,691,19.3,24.4,30.2,18.7,24.5,11.9,14.7,77.6,10.3,0.3,4.0,2.1,5.7,17.3,25753,73.3,19.3,7.1,0.4,12.4
41037,Oregon,Lake,7842,4201,3641,7.7,85.6,0.4,0.8,0.6,0.0,6194,32369.0,4018.0,20142,1587,18.6,20.1,29.8,23.5,15.2,21.2,10.3,70.4,11.6,0.0,7.2,1.8,8.9,16.5,3037,59.4,27.8,11.5,1.3,10.6
41039,Oregon,Lane,357060,175470,181590,8.1,83.4,1.0,0.9,2.5,0.2,275884,44103.0,729.0,24960,470,20.1,22.2,34.5,20.6,24.7,8.3,11.9,70.4,10.3,3.2,5.0,5.3,5.8,19.8,158490,75.9,15.8,8.0,0.2,9.9
41041,Oregon,Lincoln,46347,22551,23796,8.4,83.3,0.3,3.0,1.2,0.2,36713,42101.0,1209.0,25124,840,16.9,24.3,28.0,27.5,24.6,9.3,10.6,72.3,13.1,2.2,4.8,1.4,6.2,19.1,19454,72.3,16.2,11.3,0.2,7.9
41043,Oregon,Linn,118971,58803,60168,8.3,86.4,0.4,1.4,1.2,0.1,88205,45644.0,1566.0,21706,531,18.9,27.8,28.3,19.0,22.9,12.0,17.7,78.0,11.0,0.5,2.6,2.0,5.8,22.8,48892,77.7,15.5,6.6,0.1,10.6
41045,Oregon,Malheur,30551,16697,13854,32.7,62.2,0.9,0.5,1.6,0.0,20456,35418.0,2923.0,16867,859,25.5,36.1,28.6,22.9,17.6,15.4,15.5,74.6,12.0,0.2,5.6,1.6,6.0,17.4,10595,70.6,19.1,9.8,0.5,11.2
41047,Oregon,Marion,323259,160907,162352,25.3,67.0,1.0,0.7,1.8,0.8,212708,48432.0,1215.0,22490,356,18.4,27.5,30.2,19.5,24.2,12.8,13.4,73.6,14.6,1.7,3.9,2.1,4.1,22.3,137706,75.4,18.7,5.8,0.1,10.7
41049,Oregon,Morrow,11204,5800,5404,34.0,62.0,0.4,0.6,0.4,0.1,6668,50918.0,2042.0,20497,1159,16.5,25.7,27.1,15.8,16.9,21.5,18.5,76.7,11.0,0.5,4.1,1.0,6.7,18.6,4827,77.3,15.5,7.2,0.0,8.6
41051,Oregon,Multnomah,768418,379725,388693,11.1,71.3,5.3,0.6,6.8,0.6,560299,54102.0,784.0,31544,380,18.1,23.6,43.1,18.7,21.7,5.6,10.9,60.3,9.7,11.2,5.3,6.6,7.0,25.5,394637,80.1,12.0,7.8,0.1,8.8
41053,Oregon,Polk,77264,37171,40093,12.8,79.7,0.7,1.0,2.1,0.4,55878,52821.0,1699.0,23967,679,16.3,18.9,36.0,16.8,25.6,10.3,11.4,76.1,11.8,0.5,3.3,2.2,6.0,25.1,32687,69.6,23.3,6.9,0.2,10.8
41055,Oregon,Sherman,1795,903,892,7.1,85.0,0.6,3.2,0.2,0.0,1420,38362.0,5362.0,26178,2810,21.6,28.7,35.0,17.8,15.8,16.2,15.1,72.8,11.9,0.6,5.4,1.4,7.9,22.5,746,71.7,17.4,10.2,0.7,7.9
41057,Oregon,Tillamook,25430,12875,12555,10.0,85.3,0.2,0.9,0.9,0.3,19707,42581.0,2666.0,22426,1320,17.4,22.7,25.5,18.7,20.4,16.0,19.4,76.4,10.7,0.7,4.8,2.4,5.0,19.6,9747,73.7,16.5,9.8,0.1,7.8
41059,Oregon,Umatilla,76738,40004,36734,25.3,67.8,0.7,2.1,0.8,0.1,51627,48101.0,1992.0,21214,788,17.6,26.6,26.9,19.8,21.3,13.5,18.5,80.4,10.8,0.4,4.2,1.2,3.1,17.9,32450,74.3,19.0,6.5,0.2,9.4
41061,Oregon,Union,25745,12664,13081,4.4,89.7,0.6,0.8,1.1,1.0,19523,43822.0,2257.0,23764,1297,18.6,22.9,28.9,20.4,25.4,10.9,14.4,72.6,9.7,0.9,8.1,2.9,5.8,17.2,11024,70.1,19.7,9.9,0.4,7.1
41063,Oregon,Wallowa,6857,3368,3489,2.7,93.6,0.3,0.2,0.2,0.2,5561,40581.0,3918.0,24386,1578,15.3,22.8,34.5,19.9,21.8,13.0,10.8,68.0,10.6,0.2,8.4,3.9,8.9,19.1,2898,65.5,20.8,13.5,0.2,9.5
41065,Oregon,Wasco,25492,12634,12858,16.5,76.1,0.4,3.6,1.0,0.5,18219,43422.0,2729.0,22828,1049,16.1,20.7,28.0,22.7,22.2,16.4,10.7,74.0,10.9,1.5,4.5,1.6,7.5,16.0,10907,74.8,16.8,8.3,0.1,9.0
41067,Oregon,Washington,556210,273743,282467,16.2,68.2,1.8,0.4,9.2,0.4,370377,66754.0,739.0,32369,447,11.8,15.6,43.9,15.8,23.6,7.1,9.6,73.4,10.4,6.3,2.7,1.9,5.3,24.5,276371,84.4,9.6,5.9,0.1,7.6
41069,Oregon,Wheeler,1348,654,694,1.4,95.8,0.0,0.7,0.4,0.0,1167,33487.0,5978.0,23535,2599,19.0,37.0,36.9,16.0,17.2,18.8,11.0,68.3,4.9,1.1,14.3,2.4,9.1,18.8,563,56.1,30.7,12.8,0.4,8.5
41071,Oregon,Yamhill,101119,50669,50450,15.4,78.2,1.0,0.9,1.2,0.2,71686,53423.0,2829.0,25047,1089,16.6,24.3,31.5,19.6,21.5,11.3,16.1,73.1,12.7,0.7,6.1,1.7,5.6,24.4,44114,80.2,12.0,7.7,0.2,9.7
